timestamp,symbol,price,qty,aggressor_side,resting_order_id,aggressing_order_id
1000001000,AAPL,100.50,200,BUY,4,7
1000002000,AAPL,99.50,150,SELL,1,8
1000003000,AAPL,99.50,50,SELL,1,9
1000003000,AAPL,99.00,50,SELL,2,9
1000004000,AAPL,101.00,300,BUY,5,10
1000004000,AAPL,101.50,100,BUY,6,10
2000000200,MSFT,300.50,300,BUY,101,102
2000001000,MSFT,300.00,200,SELL,100,103
3000003000,AAPL,96.00,100,BUY,202,205
3000003000,AAPL,97.00,100,BUY,203,205
3000003000,AAPL,98.00,100,BUY,204,205
3000003000,AAPL,100.00,50,BUY,11,205
